Server,Instance Load
ec2-332-108-115.compute-1.amazonaws.com,66.05390965167229
ec2-320-64-102.compute-1.amazonaws.com,3.5020501312769934
ec2-344-104-28.compute-1.amazonaws.com,89.29756291869306
ec2-256-125-204.compute-1.amazonaws.com,24.892531644407008
ec2-291-47-88.compute-1.amazonaws.com,20.343375942121504
ec2-341-72-235.compute-1.amazonaws.com,52.22912958694107
ec2-304-33-45.compute-1.amazonaws.com,56.751154811314336
ec2-288-136-163.compute-1.amazonaws.com,47.544566739967465
ec2-336-24-112.compute-1.amazonaws.com,7.987553235377394
ec2-286-66-68.compute-1.amazonaws.com,37.01919632772851
ec2-272-157-99.compute-1.amazonaws.com,32.41102797859179
ec2-344-198-130.compute-1.amazonaws.com,95.1081311756261
ec2-305-198-232.compute-1.amazonaws.com,2.7317601622286247
ec2-256-52-48.compute-1.amazonaws.com,2.5599007645388436
ec2-340-164-70.compute-1.amazonaws.com,15.450755507492133
ec2-294-72-19.compute-1.amazonaws.com,95.41368097445432
ec2-307-205-238.compute-1.amazonaws.com,42.684396818911566
ec2-282-128-30.compute-1.amazonaws.com,97.05838180547666
ec2-336-159-203.compute-1.amazonaws.com,73.44609952524962
ec2-311-11-18.compute-1.amazonaws.com,76.4567953339753
