# ----------------------------------------,
# highcharts.com,
# Audience Overview,
# 20171217-20180117,
# ----------------------------------------,
,
Day Index,Users
a1,0.552
a2,0.086
a3,0.07
a4,0.125
a5,0.211
a6,0.016
a7,0.039
a8,0.093
a9,0.132
a10,0.031
a11,0.39
a12,0.234
a13,0.451
a14,0.07
a15,0.062
a16,0.062
a17,0.528
a18,0.023
a19,0.023
a20,0.07
a21,0.031
a22,0.28
a23,0.093
a24,0.218
a25,0.047
a26,0.006
a27,0.085
a28,0.085
a29,0.163
a30,0.101
a31,0.039
a32,0.109
a33,0.023
a34,0.016
a35,0.148
a36,0.054
a37,0.109
a38,0.155
a39,0.155
a40,0.105
a41,0.219
a42,0.216
a43,0.139
a44,0.157
a45,0.038
a46,0
a47,0.028
a48,0.108
a49,0.073
a50,0.076
a51,0.041
a52,0.028
a53,0
a54,0.069
a55,0.027
a56,0
a57,0
a58,0.078
a59,0.097
a60,0.279
a61,0.041
a62,0.089
a63,0.053
a64,0.146
a65,0.131
a66,0.275
a67,0.097
a68,0.912
a69,0.322
a70,0
a71,0
a72,0
a73,0.15
a74,0.288
a75,0.065
a76,0.066
a77,0.035
a78,0
a79,0
a80,0
a81,0.08
a82,0.035
a83,0.34
a84,0.106
a85,0.09
a86,0.107
a87,0.153
a88,0.114
a89,0
a90,0.037
a91,0.036
a92,0.045
a93,0.073
a94,0.04
a95,0.033
a96,0.067
a97,0
a98,0.041
a99,0.421
a100,0.43
a101,0.216
a102,0
a103,0.215
a104,0.051
a105,0.087
a106,0.037
a107,0
a108,0.026
a109,0.062
a110,0.15
a111,0.216
a112,0.316
a113,0
a114,0.049
a115,0.055
a116,0.21
a117,0.35
a118,0.063
a119,0.108
a120,0.065
a121,0.073
a122,0.11
a123,0.18
a124,0.13
a125,0.06
a126,0.04
a127,0.14
a128,0.16
a129,0.05
a130,0.04
a131,0.056
a132,0.078
a133,0.089
a134,0.11
a135,0.11
